"","year","lnw","female","widowed","divorced","separated","nevermarried","hsd08","hsd911","hsg","cg","ad","mw","so","we","exp1","exp2","exp3","exp4","weight","married","ne","sc"
"1674997",2012,1.9362107519666,1,0,0,0,1,0,0,0,1,0,1,0,0,8,0.64,0.512,0.4096,3251.36,FALSE,FALSE,FALSE
"1674998",2012,2.98965132198799,0,0,1,0,0,0,0,1,0,0,1,0,0,33,10.89,35.937,118.5921,3093.38,FALSE,FALSE,FALSE
"1674999",2012,2.956861499165,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0.09,0.027,0.0081,3515.9,TRUE,FALSE,FALSE
"1675000",2012,2.05891990595904,1,0,0,0,0,0,0,1,0,0,1,0,0,12,1.44,1.728,2.0736,1358,TRUE,FALSE,FALSE
"1675001",2012,3.1267605359604,0,0,0,0,0,0,0,1,0,0,1,0,0,34,11.56,39.304,133.6336,1642.53,TRUE,FALSE,FALSE
"1675002",2012,2.3629957881865,1,0,0,0,0,0,0,1,0,0,1,0,0,26,6.76,17.576,45.6976,1642.53,TRUE,FALSE,FALSE
"1675007",2012,1.93829191817042,0,0,1,0,0,0,0,1,0,0,1,0,0,9,0.81,0.729,0.6561,2117.17,FALSE,FALSE,FALSE
"1675008",2012,2.41388885005267,1,0,1,0,0,0,0,0,1,0,1,0,0,27,7.29,19.683,53.1441,2934.05,FALSE,FALSE,FALSE
"1675009",2012,2.05891990595904,0,0,0,0,0,0,0,0,0,0,1,0,0,5.5,0.3025,0.166375,0.09150625,1943.56,TRUE,FALSE,TRUE
"1675011",2012,2.48697764210011,0,0,0,0,0,0,1,0,0,0,1,0,0,32,10.24,32.768,104.8576,2603.79,TRUE,FALSE,FALSE
"1675013",2012,3.11101217899226,1,0,0,0,0,0,0,0,0,1,1,0,0,23,5.29,12.167,27.9841,1774.79,TRUE,FALSE,FALSE
"1675014",2012,2.54358820860902,1,0,1,0,0,0,0,0,0,0,1,0,0,22.5,5.0625,11.390625,25.62890625,1741.69,FALSE,FALSE,TRUE
"1675016",2012,3.09016138351207,0,0,0,0,0,0,0,1,0,0,1,0,0,32,10.24,32.768,104.8576,1928.37,TRUE,FALSE,FALSE
"1675019",2012,2.84781214347737,1,0,0,0,0,0,0,0,0,0,1,0,0,20,4,8,16,1837.63,TRUE,FALSE,TRUE
"1675025",2012,2.97521063783319,0,0,1,0,0,0,0,1,0,0,1,0,0,31,9.61,29.791,92.3521,3205.51,FALSE,FALSE,FALSE
"1675031",2012,1.45278410238872,0,0,1,0,0,0,0,0,0,0,1,0,0,30,9,27,81,2603.79,FALSE,FALSE,TRUE
"1675033",2012,1.78624428853994,1,0,0,0,0,0,0,1,0,0,1,0,0,31,9.61,29.791,92.3521,2603.79,TRUE,FALSE,FALSE
"1675034",2012,2.72907756829429,0,0,0,0,0,0,0,0,0,0,1,0,0,31.5,9.9225,31.255875,98.45600625,2603.79,TRUE,FALSE,TRUE
"1675036",2012,2.96096828111765,1,0,0,0,1,0,0,0,0,1,1,0,0,4,0.16,0.064,0.0256,2714.08,FALSE,FALSE,FALSE
"1675037",2012,3.14226472249636,1,0,0,0,1,0,0,0,0,1,1,0,0,5,0.25,0.125,0.0625,3064.21,FALSE,FALSE,FALSE
"1675044",2012,2.81802505431078,0,0,0,0,1,0,0,0,0,0,1,0,0,5.5,0.3025,0.166375,0.09150625,3575.46,FALSE,FALSE,TRUE
"1675048",2012,2.36907483426288,1,0,0,0,0,0,0,1,0,0,1,0,0,31,9.61,29.791,92.3521,1564.83,TRUE,FALSE,FALSE
"1675049",2012,2.55139639105683,0,0,0,0,0,0,0,1,0,0,1,0,0,30,9,27,81,1564.83,TRUE,FALSE,FALSE
"1675050",2012,2.14593128294867,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0.81,0.729,0.6561,3267.52,TRUE,FALSE,FALSE
"1675051",2012,2.72907756829429,0,0,0,0,1,0,0,1,0,0,1,0,0,17,2.89,4.913,8.3521,2844.86,FALSE,FALSE,FALSE
"1675052",2012,2.95994316570241,0,0,0,0,0,0,0,1,0,0,1,0,0,35,12.25,42.875,150.0625,3117.09,TRUE,FALSE,FALSE
"1675054",2012,1.96360972615471,1,0,0,0,1,0,0,0,0,0,1,0,0,15,2.25,3.375,5.0625,1847.89,FALSE,FALSE,TRUE
"1675055",2012,1.96360972615471,1,0,0,0,1,0,0,1,0,0,1,0,0,14,1.96,2.744,3.8416,1809.11,FALSE,FALSE,FALSE
"1675058",2012,2.68144951930503,0,0,0,0,0,0,0,0,0,0,1,0,0,15,2.25,3.375,5.0625,1749.04,TRUE,FALSE,TRUE
"1675059",2012,2.21046980408624,0,0,0,0,0,1,0,0,0,0,1,0,0,16.5,2.7225,4.492125,7.41200625,1713.26,TRUE,FALSE,FALSE
"1675061",2012,2.47942289143174,0,0,0,0,0,0,0,1,0,0,1,0,0,12,1.44,1.728,2.0736,1896.58,TRUE,FALSE,FALSE
"1675062",2012,2.36907483426288,0,0,0,0,0,0,1,0,0,0,1,0,0,14,1.96,2.744,3.8416,1818.04,TRUE,FALSE,FALSE
"1675064",2012,2.62629769922995,0,0,0,0,0,0,0,0,0,1,1,0,0,25,6.25,15.625,39.0625,3133.09,TRUE,FALSE,FALSE
"1675068",2012,3.53914608691313,0,0,0,0,0,0,0,0,1,0,1,0,0,26,6.76,17.576,45.6976,1841.88,TRUE,FALSE,FALSE
"1675069",2012,2.78778516912106,1,0,0,0,0,0,0,0,0,0,1,0,0,28,7.84,21.952,61.4656,1841.88,TRUE,FALSE,TRUE
"1675070",2012,3.24454357161678,0,0,0,0,0,0,0,0,0,0,1,0,0,10.5,1.1025,1.157625,1.21550625,1666.26,TRUE,FALSE,TRUE
"1675073",2012,2.56974552972503,0,0,0,0,0,0,0,0,0,0,1,0,0,24.5,6.0025,14.706125,36.03000625,1841.88,TRUE,FALSE,TRUE
"1675074",2012,2.58418621387982,0,0,0,0,0,0,0,1,0,0,1,0,0,19,3.61,6.859,13.0321,1781.55,TRUE,FALSE,FALSE
"1675075",2012,2.46870467521172,1,0,0,0,0,0,0,0,0,0,1,0,0,15.5,2.4025,3.723875,5.77200625,1781.55,TRUE,FALSE,TRUE
"1675076",2012,2.91912117118215,0,0,0,0,0,0,0,1,0,0,1,0,0,28,7.84,21.952,61.4656,3350.9,TRUE,FALSE,FALSE
"1675077",2012,2.14593128294867,1,0,0,0,0,0,0,1,0,0,1,0,0,26,6.76,17.576,45.6976,3350.9,TRUE,FALSE,FALSE
"1675079",2012,2.99322914333587,0,0,0,0,0,0,0,1,0,0,1,0,0,32,10.24,32.768,104.8576,1638.53,TRUE,FALSE,FALSE
"1675082",2012,2.85742760217681,1,0,0,0,0,0,0,0,0,1,1,0,0,21,4.41,9.261,19.4481,1787.15,TRUE,FALSE,FALSE
"1675083",2012,2.91912117118215,0,0,0,0,0,0,0,1,0,0,1,0,0,33,10.89,35.937,118.5921,1787.15,TRUE,FALSE,FALSE
"1675084",2012,3.25833689374911,1,0,0,0,0,0,0,0,0,1,1,0,0,16,2.56,4.096,6.5536,1838.32,TRUE,FALSE,FALSE
"1675085",2012,3.57304763858881,0,0,0,0,0,0,0,0,0,1,1,0,0,16,2.56,4.096,6.5536,1838.32,TRUE,FALSE,FALSE
"1675087",2012,2.90459307061924,0,0,0,0,0,0,0,0,0,0,1,0,0,30.5,9.3025,28.372625,86.53650625,1846.06,TRUE,FALSE,TRUE
"1675088",2012,2.27109442590267,1,0,0,0,0,0,0,1,0,0,1,0,0,24,5.76,13.824,33.1776,1846.06,TRUE,FALSE,FALSE
"1675089",2012,2.77453994237104,0,0,0,0,0,0,0,1,0,0,1,0,0,34,11.56,39.304,133.6336,2890.03,TRUE,FALSE,FALSE
"1675090",2012,3.02832046314714,1,0,0,0,1,0,0,0,0,0,1,0,0,15,2.25,3.375,5.0625,1644.38,FALSE,FALSE,TRUE
"1675091",2012,2.75206708651898,0,0,0,0,0,0,0,0,0,0,1,0,0,16,2.56,4.096,6.5536,1999.61,TRUE,FALSE,TRUE
"1675095",2012,3.06222201482282,0,0,0,0,0,0,0,1,0,0,1,0,0,24,5.76,13.824,33.1776,1761.03,TRUE,FALSE,FALSE
"1675096",2012,2.75206708651898,1,0,0,0,0,0,0,0,0,1,1,0,0,9,0.81,0.729,0.6561,1578.15,TRUE,FALSE,FALSE
"1675097",2012,2.93816936615284,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0.64,0.512,0.4096,1578.15,TRUE,FALSE,FALSE
"1675098",2012,2.83907846350861,0,0,0,0,1,0,0,1,0,0,1,0,0,11,1.21,1.331,1.4641,3181.09,FALSE,FALSE,FALSE
"1675099",2012,1.4725867296849,1,0,0,1,0,0,0,0,0,0,1,0,0,8.5,0.7225,0.614125,0.52200625,1545.71,FALSE,FALSE,TRUE
"1675100",2012,2.002830439308,1,0,0,0,1,0,0,0,0,0,1,0,0,8.5,0.7225,0.614125,0.52200625,1545.71,FALSE,FALSE,TRUE
"1675103",2012,2.75206708651898,0,0,0,0,0,0,0,1,0,0,1,0,0,21,4.41,9.261,19.4481,1578.15,TRUE,FALSE,FALSE
"1675104",2012,2.83907846350861,0,0,0,0,0,0,0,1,0,0,1,0,0,28,7.84,21.952,61.4656,3008.08,TRUE,FALSE,FALSE
"1675105",2012,2.10337166852987,1,0,0,0,0,0,0,1,0,0,1,0,0,22,4.84,10.648,23.4256,3008.08,TRUE,FALSE,FALSE
"1675106",2012,3.62183780275825,0,0,0,0,0,0,0,1,0,0,1,0,0,13,1.69,2.197,2.8561,1781.55,TRUE,FALSE,FALSE
"1675108",2012,2.79651884908982,1,0,0,0,1,0,0,0,0,0,1,0,0,11.5,1.3225,1.520875,1.74900625,3272.08,FALSE,FALSE,TRUE
"1675112",2012,3.14226472249636,0,0,0,0,1,0,0,1,0,0,1,0,0,22,4.84,10.648,23.4256,2027.5,FALSE,FALSE,FALSE
"1675113",2012,2.24124146275299,1,0,1,0,0,0,0,0,0,0,1,0,0,32.5,10.5625,34.328125,111.56640625,2716.3,FALSE,FALSE,TRUE
"1675114",2012,2.74376828370429,1,0,0,0,0,0,0,0,0,0,1,0,0,32.5,10.5625,34.328125,111.56640625,2716.3,TRUE,FALSE,TRUE
"1675116",2012,2.56974552972503,0,0,0,0,0,0,0,0,0,0,1,0,0,21.5,4.6225,9.938375,21.36750625,1604.31,TRUE,FALSE,TRUE
"1675117",2012,1.33500106673234,1,0,0,0,0,0,0,1,0,0,1,0,0,23,5.29,12.167,27.9841,1604.31,TRUE,FALSE,FALSE
"1675119",2012,2.81802505431078,0,0,0,0,0,0,0,0,1,0,1,0,0,23,5.29,12.167,27.9841,1578.15,TRUE,FALSE,FALSE
"1675120",2012,2.83907846350861,0,0,1,0,0,0,0,1,0,0,1,0,0,26,6.76,17.576,45.6976,3184.54,FALSE,FALSE,FALSE
"1675121",2012,1.96360972615471,1,0,0,0,0,0,0,1,0,0,1,0,0,17,2.89,4.913,8.3521,2890.8,TRUE,FALSE,FALSE
"1675123",2012,2.52322551409014,1,0,0,0,1,0,0,1,0,0,1,0,0,12,1.44,1.728,2.0736,3272.08,FALSE,FALSE,FALSE
"1675126",2012,1.885648184685,1,0,0,0,0,0,0,0,0,0,1,0,0,11.5,1.3225,1.520875,1.74900625,3272.08,TRUE,FALSE,TRUE
"1675128",2012,2.35565181393074,0,0,0,0,0,0,0,1,0,0,1,0,0,21,4.41,9.261,19.4481,1838.32,TRUE,FALSE,FALSE
"1675130",2012,3.14226472249636,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0.64,0.512,0.4096,1874.95,TRUE,FALSE,FALSE
"1675131",2012,2.99322914333587,1,0,0,0,0,0,0,0,0,1,1,0,0,8,0.64,0.512,0.4096,1874.95,TRUE,FALSE,FALSE
"1675132",2012,2.10337166852987,1,0,0,0,0,0,0,1,0,0,1,0,0,27,7.29,19.683,53.1441,3288.67,TRUE,FALSE,FALSE
"1675134",2012,2.77453994237104,0,0,0,0,1,0,0,0,0,0,1,0,0,10,1,1,1,2632.83,FALSE,FALSE,TRUE
"1675135",2012,2.96791133535158,0,0,0,0,1,0,0,0,0,0,1,0,0,11.5,1.3225,1.520875,1.74900625,3132.17,FALSE,FALSE,TRUE
"1675137",2012,2.31583031974407,1,0,0,0,0,0,0,0,1,0,1,0,0,28,7.84,21.952,61.4656,2780.42,TRUE,FALSE,FALSE
"1675138",2012,3.17555070012983,0,0,0,0,1,0,0,1,0,0,1,0,0,9,0.81,0.729,0.6561,4060.51,FALSE,FALSE,FALSE
"1675139",2012,2.77453994237104,0,0,1,0,0,0,0,1,0,0,1,0,0,18,3.24,5.832,10.4976,2027.5,FALSE,FALSE,FALSE
"1675142",2012,3.21637269465008,0,0,0,0,0,0,0,1,0,0,1,0,0,15,2.25,3.375,5.0625,1887.28,TRUE,FALSE,FALSE
"1675144",2012,2.97521063783319,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0.81,0.729,0.6561,2077.39,TRUE,FALSE,FALSE
"1675146",2012,2.56714474802497,1,0,0,0,0,0,0,0,0,0,1,0,0,13,1.69,2.197,2.8561,2657.63,TRUE,FALSE,TRUE
"1675147",2012,2.36907483426288,1,0,0,0,0,0,0,0,0,1,1,0,0,13,1.69,2.197,2.8561,2117.56,TRUE,FALSE,FALSE
"1675148",2012,2.91912117118215,0,0,0,0,0,0,0,0,1,0,1,0,0,18,3.24,5.832,10.4976,2117.56,TRUE,FALSE,FALSE
"1675149",2012,2.38849292011998,0,0,0,0,0,0,0,1,0,0,1,0,0,35,12.25,42.875,150.0625,1768.88,TRUE,FALSE,FALSE
"1675152",2012,3.57304763858881,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1.96,2.744,3.8416,1922.21,TRUE,FALSE,TRUE
"1675154",2012,3.75536919538277,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0.64,0.512,0.4096,1540.18,TRUE,FALSE,FALSE
"1675155",2012,3.57304763858881,1,0,0,0,0,0,0,0,1,0,1,0,0,8,0.64,0.512,0.4096,1540.18,TRUE,FALSE,FALSE
"1675156",2012,2.30008196277593,1,0,0,0,0,0,0,1,0,0,1,0,0,27,7.29,19.683,53.1441,1577.25,TRUE,FALSE,FALSE
"1675159",2012,3.3499040872746,0,0,0,0,0,0,0,0,0,1,1,0,0,11,1.21,1.331,1.4641,1924.93,TRUE,FALSE,FALSE
"1675160",2012,1.99178060312141,1,0,0,0,0,0,0,0,0,0,1,0,0,23,5.29,12.167,27.9841,1763.75,TRUE,FALSE,TRUE
"1675162",2012,1.96360972615471,1,0,0,0,1,0,0,0,0,0,1,0,0,6.5,0.4225,0.274625,0.17850625,1548.53,FALSE,FALSE,TRUE
"1675165",2012,3.18738515777683,0,0,1,0,0,0,0,0,0,0,1,0,0,32,10.24,32.768,104.8576,3152.2,FALSE,FALSE,TRUE
"1675168",2012,3.01343185065339,0,0,0,0,1,0,0,0,0,0,1,0,0,17.5,3.0625,5.359375,9.37890625,3286.58,FALSE,FALSE,TRUE
"1675169",2012,2.36907483426288,0,0,0,1,0,0,0,1,0,0,1,0,0,14,1.96,2.744,3.8416,1589.11,FALSE,FALSE,FALSE
"1675170",2012,1.91231643176716,1,0,0,0,1,0,0,1,0,0,1,0,0,12,1.44,1.728,2.0736,1742.47,FALSE,FALSE,FALSE
"1675172",2012,3.02832046314714,0,0,0,0,0,0,1,0,0,0,1,0,0,32,10.24,32.768,104.8576,3112.16,TRUE,FALSE,FALSE
"1675174",2012,1.7404661748405,1,0,0,1,0,0,1,0,0,0,1,0,0,25,6.25,15.625,39.0625,3216.79,FALSE,FALSE,FALSE
"1675176",2012,2.39724571122958,1,0,1,0,0,0,0,1,0,0,1,0,0,20,4,8,16,1715.62,FALSE,FALSE,FALSE
"1675177",2012,3.47506723022861,0,0,0,1,0,0,0,0,1,0,1,0,0,26,6.76,17.576,45.6976,3147.67,FALSE,FALSE,FALSE
"1675178",2012,2.48768057667073,1,0,0,0,1,0,0,0,0,1,1,0,0,11,1.21,1.331,1.4641,3438.43,FALSE,FALSE,FALSE
"1675181",2012,2.4643850140672,0,0,0,0,0,0,0,1,0,0,1,0,0,18,3.24,5.832,10.4976,3036.07,TRUE,FALSE,FALSE
"1675182",2012,2.36907483426288,1,0,0,0,0,0,0,0,0,0,1,0,0,20.5,4.2025,8.615125,17.66100625,3036.07,TRUE,FALSE,TRUE
"1675183",2012,2.30008196277593,1,0,1,0,0,0,0,0,0,0,1,0,0,24.5,6.0025,14.706125,36.03000625,1660.87,FALSE,FALSE,TRUE
"1675185",2012,3.02832046314714,1,0,1,0,0,0,0,0,0,0,1,0,0,21.5,4.6225,9.938375,21.36750625,3036.07,FALSE,FALSE,TRUE
"1675186",2012,2.2512917986065,1,0,0,0,0,0,0,0,0,0,1,0,0,17,2.89,4.913,8.3521,1792.8,TRUE,FALSE,TRUE
"1675187",2012,3.31521852928672,0,0,0,0,0,0,0,0,0,1,1,0,0,13,1.69,2.197,2.8561,1792.8,TRUE,FALSE,FALSE
"1675188",2012,2.36907483426288,1,0,0,0,0,0,0,0,0,0,1,0,0,16,2.56,4.096,6.5536,1792.8,TRUE,FALSE,TRUE
"1675189",2012,2.60546361232711,0,0,0,0,0,0,0,1,0,0,1,0,0,21,4.41,9.261,19.4481,1792.8,TRUE,FALSE,FALSE
"1675190",2012,2.43361335540045,1,0,0,0,0,0,0,0,0,0,1,0,0,31,9.61,29.791,92.3521,2911.72,TRUE,FALSE,TRUE
"1675192",2012,2.65675690671466,1,1,0,0,0,0,0,1,0,0,1,0,0,33,10.89,35.937,118.5921,2911.72,FALSE,FALSE,FALSE
"1675194",2012,2.52322551409014,1,0,0,0,1,0,0,0,0,0,1,0,0,13,1.69,2.197,2.8561,3592.91,FALSE,FALSE,TRUE
"1675197",2012,2.18675327746892,1,0,0,0,1,0,0,0,1,0,1,0,0,12,1.44,1.728,2.0736,1960.07,FALSE,FALSE,FALSE
"1675198",2012,2.91912117118215,1,0,0,0,0,0,0,0,0,1,1,0,0,8,0.64,0.512,0.4096,1795.34,TRUE,FALSE,FALSE
"1675199",2012,2.97974579299859,0,0,0,0,0,0,0,0,0,1,1,0,0,12,1.44,1.728,2.0736,1795.34,TRUE,FALSE,FALSE
"1675201",2012,3.55057478273676,0,0,0,0,0,0,0,0,1,0,1,0,0,15,2.25,3.375,5.0625,1715.62,TRUE,FALSE,FALSE
"1675205",2012,5.42934562895444,0,0,0,0,0,0,0,0,0,1,1,0,0,29,8.41,24.389,70.7281,2870.72,TRUE,FALSE,FALSE
"1675209",2012,3.14226472249636,0,0,0,0,0,0,0,0,0,0,1,0,0,19.5,3.8025,7.414875,14.45900625,2088.35,TRUE,FALSE,TRUE
"1675210",2012,2.60546361232711,0,0,0,0,0,0,0,0,0,0,1,0,0,16.5,2.7225,4.492125,7.41200625,2136.14,TRUE,FALSE,TRUE
"1675213",2012,2.57879536524495,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0.09,0.027,0.0081,2194.86,TRUE,FALSE,FALSE
"1675214",2012,1.92896059074154,1,0,0,0,0,0,0,0,0,0,1,0,0,23.5,5.5225,12.977875,30.49800625,1982.67,TRUE,FALSE,TRUE
"1675215",2012,2.25746465771358,0,0,0,0,0,0,0,0,0,0,1,0,0,22.5,5.0625,11.390625,25.62890625,1982.67,TRUE,FALSE,TRUE
"1675216",2012,2.79985775035533,1,0,1,0,0,0,0,0,0,0,1,0,0,24,5.76,13.824,33.1776,1982.67,FALSE,FALSE,TRUE
"1675218",2012,2.52322551409014,1,0,0,0,1,0,0,0,1,0,1,0,0,15,2.25,3.375,5.0625,1805.59,FALSE,FALSE,FALSE
"1675219",2012,1.36577272539909,0,0,0,0,0,0,0,0,0,0,1,0,0,19.5,3.8025,7.414875,14.45900625,1509.15,TRUE,FALSE,TRUE
"1675221",2012,2.82603074811614,0,0,0,0,0,0,0,0,0,0,1,0,0,20.5,4.2025,8.615125,17.66100625,1484.54,TRUE,FALSE,TRUE
"1675222",2012,2.30008196277593,1,0,0,0,0,0,0,1,0,0,1,0,0,17,2.89,4.913,8.3521,1484.54,TRUE,FALSE,FALSE
"1675223",2012,2.47450201436525,1,0,1,0,0,0,0,0,0,0,1,0,0,14,1.96,2.744,3.8416,1899.73,FALSE,FALSE,TRUE
"1675224",2012,2.87990045802887,1,0,0,0,0,0,0,0,1,0,1,0,0,9,0.81,0.729,0.6561,1846.4,TRUE,FALSE,FALSE
"1675226",2012,2.11515962428192,0,0,0,0,0,0,0,0,0,0,1,0,0,11.5,1.3225,1.520875,1.74900625,1846.4,TRUE,FALSE,TRUE
"1675227",2012,2.56714474802497,1,0,0,0,0,0,0,1,0,0,1,0,0,12,1.44,1.728,2.0736,1846.4,TRUE,FALSE,FALSE
"1675228",2012,2.27109442590267,1,0,1,0,0,0,0,1,0,0,1,0,0,32,10.24,32.768,104.8576,2738.09,FALSE,FALSE,FALSE
"1675233",2012,2.57879536524495,0,0,0,0,0,0,0,0,1,0,1,0,0,20,4,8,16,1891.56,TRUE,FALSE,FALSE
"1675235",2012,3.14226472249636,1,0,0,0,0,0,0,1,0,0,1,0,0,21,4.41,9.261,19.4481,1715.82,TRUE,FALSE,FALSE
"1675236",2012,2.04592676864393,0,1,0,0,0,0,0,0,0,0,1,0,0,24,5.76,13.824,33.1776,1754.43,FALSE,FALSE,TRUE
"1675237",2012,2.43361335540045,1,0,0,0,1,0,0,1,0,0,1,0,0,19,3.61,6.859,13.0321,1754.43,FALSE,FALSE,FALSE
"1675239",2012,2.81802505431078,0,0,0,0,0,0,0,0,0,0,1,0,0,21,4.41,9.261,19.4481,1715.82,TRUE,FALSE,TRUE
"1675240",2012,2.65675690671466,1,0,0,0,0,0,0,1,0,0,1,0,0,22,4.84,10.648,23.4256,1715.82,TRUE,FALSE,FALSE
"1675245",2012,2.17872110577166,0,0,0,0,0,0,0,1,0,0,1,0,0,30,9,27,81,3238.6,TRUE,FALSE,FALSE
"1675247",2012,2.4643850140672,1,0,0,0,0,0,0,0,0,1,1,0,0,7,0.49,0.343,0.2401,1846.4,TRUE,FALSE,FALSE
"1675253",2012,2.57879536524495,0,0,0,0,0,0,0,0,0,0,1,0,0,6.5,0.4225,0.274625,0.17850625,3239.32,TRUE,FALSE,TRUE
"1675254",2012,3.46323277258161,0,0,0,0,0,0,0,0,1,0,1,0,0,22,4.84,10.648,23.4256,1813.84,TRUE,FALSE,FALSE
"1675258",2012,2.43361335540045,0,0,0,0,0,0,0,0,0,0,1,0,0,8.5,0.7225,0.614125,0.52200625,1718.54,TRUE,FALSE,TRUE
"1675259",2012,2.40829554741616,1,0,0,0,0,0,0,1,0,0,1,0,0,11,1.21,1.331,1.4641,1718.54,TRUE,FALSE,FALSE
"1675262",2012,2.80336038090653,1,0,1,0,0,0,0,1,0,0,1,0,0,25,6.25,15.625,39.0625,3299.88,FALSE,FALSE,FALSE
"1675263",2012,2.87990045802887,0,0,0,0,1,0,0,1,0,0,1,0,0,23,5.29,12.167,27.9841,3217.17,FALSE,FALSE,FALSE
"1675265",2012,1.96360972615471,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0.81,0.729,0.6561,3358.23,TRUE,FALSE,TRUE
"1675268",2012,2.14593128294867,0,0,0,0,0,0,0,1,0,0,1,0,0,30,9,27,81,3153.15,TRUE,FALSE,FALSE
"1675269",2012,2.89791896353155,0,0,1,0,0,0,0,0,0,0,1,0,0,32.5,10.5625,34.328125,111.56640625,3293.79,FALSE,FALSE,TRUE
"1675270",2012,3.26652247833555,0,0,0,0,0,0,0,0,0,1,1,0,0,12,1.44,1.728,2.0736,1699.88,TRUE,FALSE,FALSE
"1675271",2012,3.43378557125531,1,0,0,0,0,0,0,0,0,1,1,0,0,11,1.21,1.331,1.4641,1699.88,TRUE,FALSE,FALSE
"1675272",2012,3.16098078684609,0,0,0,0,0,0,0,0,1,0,1,0,0,11,1.21,1.331,1.4641,1699.88,TRUE,FALSE,FALSE
"1675274",2012,3.02832046314714,0,0,0,0,0,0,0,0,0,1,1,0,0,20,4,8,16,1998.43,TRUE,FALSE,FALSE
"1675276",2012,2.91912117118215,0,0,0,0,1,0,0,1,0,0,1,0,0,12,1.44,1.728,2.0736,2258.9,FALSE,FALSE,FALSE
"1675278",2012,3.02832046314714,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0.81,0.729,0.6561,1832.9,TRUE,FALSE,FALSE
"1675287",2012,3.51686521889982,0,0,0,0,0,0,0,0,0,1,1,0,0,24,5.76,13.824,33.1776,1727.25,TRUE,FALSE,FALSE
"1675289",2012,4.05300159868772,1,0,0,0,1,0,0,0,0,1,1,0,0,11,1.21,1.331,1.4641,3562,FALSE,FALSE,FALSE
"1675291",2012,4.86403181990438,0,0,0,0,0,0,0,0,0,1,1,0,0,11,1.21,1.331,1.4641,1846.4,TRUE,FALSE,FALSE
"1675293",2012,3.06222201482282,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0.81,0.729,0.6561,1846.4,TRUE,FALSE,TRUE
"1675295",2012,2.88501555869564,1,0,1,0,0,0,0,0,1,0,1,0,0,24,5.76,13.824,33.1776,3238.6,FALSE,FALSE,FALSE
"1675297",2012,3.18738515777683,0,0,0,0,0,0,0,0,1,0,1,0,0,11,1.21,1.331,1.4641,2043.8,TRUE,FALSE,FALSE
"1675299",2012,3.11418175375354,0,0,0,0,0,0,0,0,0,0,1,0,0,18.5,3.4225,6.331625,11.71350625,1943.21,TRUE,FALSE,TRUE
"1675301",2012,3.06222201482282,0,0,0,0,0,0,0,0,0,0,1,0,0,28.5,8.1225,23.149125,65.97500625,1517.88,TRUE,FALSE,TRUE
"1675302",2012,3.46768712293099,0,0,1,0,0,0,0,1,0,0,1,0,0,21,4.41,9.261,19.4481,3408.66,FALSE,FALSE,FALSE
"1675303",2012,3.06222201482282,1,0,1,0,0,0,0,1,0,0,1,0,0,20,4,8,16,3408.66,FALSE,FALSE,FALSE
"1675305",2012,2.93301028334282,1,0,0,0,1,0,0,0,0,0,1,0,0,16.5,2.7225,4.492125,7.41200625,2095.1,FALSE,FALSE,TRUE
"1675306",2012,2.6441781245078,1,0,1,0,0,0,0,0,1,0,1,0,0,25,6.25,15.625,39.0625,3165.32,FALSE,FALSE,FALSE
"1675307",2012,2.04584782439169,0,0,0,0,1,0,0,1,0,0,1,0,0,9,0.81,0.729,0.6561,3190.25,FALSE,FALSE,FALSE
"1675309",2012,2.55139639105683,1,0,0,0,0,0,0,0,0,0,1,0,0,20,4,8,16,1579.88,TRUE,FALSE,TRUE
"1675310",2012,2.91912117118215,0,0,0,0,0,0,0,0,0,0,1,0,0,22.5,5.0625,11.390625,25.62890625,1579.88,TRUE,FALSE,TRUE
"1675312",2012,3.08057115349102,0,0,0,0,0,0,0,0,0,0,1,0,0,30.5,9.3025,28.372625,86.53650625,1579.88,TRUE,FALSE,TRUE
"1675314",2012,4.21490152476121,0,0,0,0,0,0,0,0,0,1,1,0,0,12,1.44,1.728,2.0736,1579.88,TRUE,FALSE,FALSE
"1675315",2012,3.75536919538277,0,0,0,0,0,0,0,0,0,1,1,0,0,15,2.25,3.375,5.0625,1554.12,TRUE,FALSE,FALSE
"1675316",2012,3.41889695876156,1,0,0,0,0,0,0,0,0,1,1,0,0,11,1.21,1.331,1.4641,1554.12,TRUE,FALSE,FALSE
"1675317",2012,3.28536556613703,0,0,0,0,0,0,0,0,1,0,1,0,0,17,2.89,4.913,8.3521,1554.12,TRUE,FALSE,FALSE
"1675318",2012,2.18675327746892,1,0,0,0,0,0,0,0,1,0,1,0,0,13,1.69,2.197,2.8561,1554.12,TRUE,FALSE,FALSE
"1675321",2012,2.2512917986065,0,0,0,0,1,0,0,0,1,0,1,0,0,4,0.16,0.064,0.0256,3184.88,FALSE,FALSE,FALSE
